seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,avg_f1_after,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,10,Scratch-Plain,0.8389886892880905,0.836457078110106,0.6808310747146606,,,,,,,,580898,0.0,0.0,2.1124889850616455,2.1124889850616455
42,10,Transfer-Plain,0.5675316034597472,0.5628827767894535,0.7446895837783813,0.02,0.9987716116635977,0.9965996032870501,0.996308500177828,0.0021931189112365246,0.00246311148576972,0.7795956384836408,580769,89.33677005767822,0.0,1.6792778968811035,91.01604795455933
42,10,Transfer-Plain+EWC,0.6214238190286094,0.5903421754894226,0.7446037530899048,0.02,0.9987716116635977,0.9965996032870501,0.996308500177828,0.0021950318478047848,0.00246311148576972,0.7933253378336254,580769,89.33677005767822,0.703857421875,1.8462812900543213,91.88690876960754
42,10,Adapter-Only,0.5123087159015303,0.5022173645284028,0.6952815651893616,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005863898433744907,0.0,0.7504949064139592,4497,63.473718881607056,0.0,2.0833659172058105,65.55708479881287
42,10,DAEWC,0.7385229540918163,0.7385229540918163,0.6845453977584839,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005900525022298098,0.0,0.868647701195666,21009,63.473718881607056,0.903022050857544,3.990028142929077,68.36676907539368
42,10,ReplayUpper,0.9101796407185628,0.9100456853804566,0.4036096930503845,0.02,0.9987716116635977,0.9985831680362709,0.9984642522396721,0.003308243351057172,0.0003073594239256794,0.9542549688100643,580898,0.0,0.0,63.508225440979004,63.508225440979004
42,20,Scratch-Plain,0.8882235528942116,0.8880625598467922,0.6772574782371521,,,,,,,,580898,0.0,0.0,2.1212799549102783,2.1212799549102783
42,20,Transfer-Plain,0.7338656021290751,0.7275406876198695,0.672897219657898,0.02,0.9987716116635977,0.998299801643525,0.9981561556917263,0.0024705182295292616,0.0006154559718714037,0.8628484216557979,580769,89.33677005767822,0.0,1.723052740097046,91.05982279777527
42,20,Transfer-Plain+EWC,0.7338656021290751,0.7275406876198695,0.6730985045433044,0.02,0.9987716116635977,0.998299801643525,0.9981561556917263,0.002466524252668023,0.0006154559718714037,0.8628484216557979,580769,89.33677005767822,0.703857421875,1.7668609619140625,91.80748844146729
42,20,Adapter-Only,0.614105123087159,0.6040943045241175,0.6922629475593567,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005863898433744907,0.0,0.8014333764118167,4497,63.473718881607056,0.0,2.0782406330108643,65.55195951461792
42,20,DAEWC,0.7704590818363274,0.7703549846433878,0.6780812740325928,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005834565497934818,0.0,0.8845637164714517,21009,63.473718881607056,0.903022050857544,3.9333243370056152,68.31006526947021
42,20,ReplayUpper,0.9840319361277445,0.9840318725099602,0.11801698058843613,0.02,0.9987716116635977,0.9974497024652876,0.997232807243474,0.002999311313033104,0.0015388044201237738,0.9906323398767171,580898,0.0,0.0,59.43451642990112,59.43451642990112
42,80,Scratch-Plain,0.9620758483033932,0.9620757811514362,0.6060927510261536,,,,,,,,580898,0.0,0.0,4.850725889205933,4.850725889205933
42,80,Transfer-Plain,0.9421157684630739,0.942035300746097,0.5505706667900085,0.02,0.9987716116635977,0.9937659393595919,0.9932181045284383,0.0027372909244149923,0.005553507135159452,0.9676267026372676,580769,89.33677005767822,0.0,3.4863626956939697,92.82313275337219
42,80,Transfer-Plain+EWC,0.9434464404524284,0.9433979317461154,0.550025224685669,0.02,0.9987716116635977,0.9934825729668462,0.9929085933080403,0.002775046043097973,0.00586301835555747,0.9681532625270779,580769,89.33677005767822,0.703857421875,1.8911867141723633,91.93181419372559
42,80,Adapter-Only,0.7551563539587491,0.7551172205673482,0.680503785610199,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005863898433744907,0.0,0.876944834433432,4497,63.473718881607056,0.0,2.0434885025024414,65.5172073841095
42,80,DAEWC,0.8090485695276114,0.8074251160174377,0.6523036956787109,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005663841962814331,0.0,0.9030987821584767,21009,63.473718881607056,0.903022050857544,4.110976219177246,68.48771715164185
42,80,ReplayUpper,0.9953426480372588,0.9953422439130641,0.02100878581404686,0.02,0.9987716116635977,0.9988665344290167,0.9987716116635977,0.00387185369618237,0.0,0.997056927788331,580898,0.0,0.0,59.63427209854126,59.63427209854126
42,160,Scratch-Plain,0.9833666001330672,0.9833664823219903,0.42558884620666504,,,,,,,,580898,0.0,0.0,5.5215113162994385,5.5215113162994385
42,160,Transfer-Plain,0.9627411842980705,0.9627410358565738,0.2571623623371124,0.02,0.9987716116635977,0.966846132048739,0.9632926475500116,0.0401441864669323,0.03547896411358609,0.9630168417032927,580769,89.33677005767822,0.0,4.035932540893555,93.37270259857178
42,160,Transfer-Plain+EWC,0.9627411842980705,0.9627383966991907,0.2571635842323303,0.02,0.9987716116635977,0.9676962312269765,0.9642547688029729,0.039108529686927795,0.03451684286062484,0.9634965827510817,580769,89.33677005767822,0.703857421875,1.7549059391021729,91.7955334186554
42,160,Adapter-Only,0.7937458416500333,0.7933593639124634,0.6635465025901794,0.98,0.9987724482995157,0.9988665344290167,0.9987724482995157,0.005863898433744907,0.0,0.8960659061059896,4497,63.473718881607056,0.0,1.9929420948028564,65.46666097640991
