seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,10,Scratch-Plain,0.9232914923291492,0.923165798989962,0.33560943603515625,0.14999999999999997,0.9976682148505536,,,,,580769,0.0,0.0,3.143972158432007,3.143972158432007
42,10,Transfer-Plain,0.9177126917712691,0.9177101306623767,0.2642457187175751,0.14999999999999997,0.9976682148505536,0.9926593689632969,0.9926097910746754,0.25683510303497314,0.005058423775878174,580769,0.0,0.0,2.5796587467193604,2.5796587467193604
42,10,Transfer-Plain+EWC,0.8333333333333334,0.8330695867287969,0.6983885169029236,0.14999999999999997,0.9976682148505536,0.9965228589826143,0.9965015512200819,0.05275743082165718,0.001166663630471687,580769,0.0,0.0,3.503654718399048,3.503654718399048
42,10,Adapter-Only,0.8361227336122734,0.8351349169657076,0.4161374866962433,0.14999999999999997,0.9976682148505536,0.9976819059884096,0.9976682148505536,0.030519938096404076,0.0,58049,0.0,0.0,8.725232124328613,8.725232124328613
42,10,DAEWC,0.8668061366806137,0.865913533630298,0.49079543352127075,0.14999999999999997,0.9976682148505536,0.9976819059884096,0.9976682148505536,0.03070586733520031,0.0,74561,59.12103223800659,2.1831324100494385,4.709037780761719,66.01320242881775
42,10,ReplayUpper,0.9393305439330544,0.9392983977264268,0.3245771825313568,0.14999999999999997,0.9976682148505536,0.9967804249839022,0.9967616019021246,0.031778790056705475,0.0009066129484289753,580898,0.0,0.0,45.50559663772583,45.50559663772583
42,20,Scratch-Plain,0.9630404463040446,0.9630184158576753,0.2554994523525238,0.14999999999999997,0.9976682148505536,,,,,580769,0.0,0.0,4.63063383102417,4.63063383102417
42,20,Transfer-Plain,0.9644351464435147,0.9644312546233679,0.18898943066596985,0.14999999999999997,0.9976682148505536,0.99703799098519,0.9970204375511522,0.13984808325767517,0.0006477772994013531,580769,0.0,0.0,3.7403924465179443,3.7403924465179443
42,20,Transfer-Plain+EWC,0.9721059972105998,0.9720903075126508,0.33961671590805054,0.14999999999999997,0.9976682148505536,0.993818415969092,0.9937778471057173,0.09477828443050385,0.0038903677448363094,580769,0.0,0.0,2.9776668548583984,2.9776668548583984
42,20,Adapter-Only,0.8821478382147838,0.8817124474140063,0.362071692943573,0.14999999999999997,0.9976682148505536,0.9976819059884096,0.9976682148505536,0.030519938096404076,0.0,58049,0.0,0.0,5.520195484161377,5.520195484161377
42,20,DAEWC,0.896094839609484,0.8959733781898824,0.279460608959198,0.14999999999999997,0.9976682148505536,0.9976819059884096,0.9976682148505536,0.03108523227274418,0.0,74561,59.12103223800659,2.1831324100494385,4.475220441818237,65.77938508987427
42,20,ReplayUpper,0.9490934449093444,0.9490825252989545,0.3929949402809143,0.14999999999999997,0.9976682148505536,0.9960077269800386,0.9959853282648551,0.03347066417336464,0.0016828865856984843,580898,0.0,0.0,43.79975366592407,43.79975366592407
42,80,Scratch-Plain,0.9804741980474198,0.9804656484984353,0.13526439666748047,0.14999999999999997,0.9976682148505536,,,,,580769,0.0,0.0,2.813106060028076,2.813106060028076
42,80,Transfer-Plain,0.9728033472803347,0.9727871361971572,0.1332027018070221,0.14999999999999997,0.9976682148505536,0.9462974887314874,0.9453954884162812,0.3439942002296448,0.05227272643427239,580769,0.0,0.0,6.381551265716553,6.381551265716553
42,80,Transfer-Plain+EWC,0.9867503486750349,0.9867433282391047,0.10823027044534683,0.14999999999999997,0.9976682148505536,0.9958789439793947,0.9958530998679294,0.14835071563720703,0.0018151149826242108,580769,0.0,0.0,3.288081645965576,3.288081645965576
