shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.466389801995805,0.05643489427968099,0.0,0.0,5.423516893386841,1.4999865566791362,25186.0
10,DAEWC,0.8713956047618601,0.04864161313208104,0.0003627267542863466,0.00047086509964550246,135.23107323646545,12.592254387507056,547626.0
10,ReplayUpper,0.8459846967634759,0.05261379478872717,0.004849037686613355,0.00445444707649899,12.429398918151856,0.16841576662317648,722698.0
10,Scratch-Plain,0.9090010592964676,0.007712273424693421,,,12.451416158676148,3.3307884797731946,722569.0
10,Transfer-Plain,0.899739176055246,0.021573996727052666,0.22869093337527224,0.2547264708028123,12.057509803771973,4.014903775696442,722569.0
10,Transfer-Plain+EWC,0.9090468723249245,0.02573371704734139,0.3717421309933958,0.2894735622504949,7.333835220336914,0.9145834334630456,722569.0
20,Adapter-Only,0.49252661845064233,0.07773955318573067,0.0,0.0,5.488476848602295,0.9599030708418863,25186.0
20,DAEWC,0.9180637922715367,0.02624729538191953,0.0002590699406150865,0.00028946605439089164,155.60110301971434,13.068456807376615,647626.0
20,ReplayUpper,0.8993855035738372,0.0334616579863426,0.009853377200071022,0.011181037304341513,13.047712182998657,0.979627623252247,722698.0
20,Scratch-Plain,0.9358909398771029,0.013344072434592616,,,9.587072896957398,2.4267921977912,722569.0
20,Transfer-Plain,0.9292965280040274,0.019327749932960405,0.2634597089705716,0.25908089222619357,8.80532202720642,2.6452539368644103,722569.0
20,Transfer-Plain+EWC,0.901356383360751,0.032553995311009165,0.2289278152904896,0.2219289339902565,6.4339758396148685,0.5440915180833936,722569.0
80,Adapter-Only,0.5220744843910758,0.04243941199657821,0.0,0.0,6.175332117080688,1.4382281326553519,25186.0
80,DAEWC,0.942040674471097,0.03466786065286226,0.00023318974806290081,0.00020303386568530594,123.74401969909668,25.6492424887419,647626.0
80,ReplayUpper,0.9718520320878593,0.006484485887745467,0.011218823821938461,0.009595624381583165,12.941783475875855,0.8603385146101911,722698.0
80,Scratch-Plain,0.9743327946655205,0.004456575519715233,,,8.807636404037476,1.1811644870941547,722569.0
80,Transfer-Plain,0.979340087983146,0.0029625295074221887,0.41686106692915,0.26472071694951893,12.276286411285401,7.56414563702397,722569.0
80,Transfer-Plain+EWC,0.9765770844379409,0.005648085376874782,0.21989461693584406,0.22453193495828244,7.080128383636475,1.422205310544635,722569.0
160,Adapter-Only,0.48613845308017944,0.06438593103507699,0.0,0.0,5.813222217559814,1.119472469441103,25186.0
160,DAEWC,0.967842213955411,0.021720422156618086,0.0011922876058076293,0.0011515771972090342,114.74318270683288,19.827920368409682,747626.0
160,ReplayUpper,0.9836409449395683,0.004457068561627315,0.0029772363599476436,0.002488146643964173,12.351551961898803,0.055467774546722214,722698.0
160,Scratch-Plain,0.9843314483876962,0.003088775724160943,,,7.553946781158447,1.4733033843531693,722569.0
160,Transfer-Plain,0.9778226585854923,0.00822878724428962,0.4142774996668563,0.2013833255817241,8.667471075057984,1.2448063005548424,722569.0
160,Transfer-Plain+EWC,0.9834988140723471,0.006456595355791128,0.31364404352152114,0.22024148243254577,8.686779689788818,2.6480424772290574,722569.0
