seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,10,Scratch-Plain,0.9121107266435986,0.9116170068692294,0.2560536563396454,0.3499999999999999,0.9990931678533426,,,,,722569,0.0,0.0,16.233204126358032,16.233204126358032
42,10,Transfer-Plain,0.8643598615916955,0.8633698940998487,0.3543684184551239,0.3499999999999999,0.9990931678533426,0.655549832603657,0.5809320042531245,0.8529930114746094,0.41816116360021804,722569,0.0,0.0,16.049150943756104,16.049150943756104
42,10,Transfer-Plain+EWC,0.9155709342560554,0.9155268776809639,0.21860793232917786,0.3499999999999999,0.9990931678533426,0.9818439351017255,0.9816771199937084,0.2637769281864166,0.01741604785963413,722569,0.0,0.0,6.869009017944336,6.869009017944336
42,10,Adapter-Only,0.6,0.5589170359917699,1.9634594917297363,0.3499999999999999,0.9990931678533426,0.9990986350759722,0.9990931678533426,0.018144216388463974,0.0,25186,0.0,0.0,8.458291292190552,8.458291292190552
42,10,DAEWC,0.8754325259515571,0.8754296026391108,0.37906649708747864,0.3499999999999999,0.9990931678533426,0.9978109708987896,0.9977978699777179,0.009520593099296093,0.001295297875624657,247626,28.468218564987183,11.385835886001587,145.45028614997864,185.3043406009674
42,10,ReplayUpper,0.8636678200692042,0.8635295211823718,0.38675710558891296,0.3499999999999999,0.9990931678533426,0.9976822044810714,0.9976688406232621,0.048623036593198776,0.0014243272300804577,722698,0.0,0.0,12.754945516586304,12.754945516586304
42,20,Scratch-Plain,0.9155709342560554,0.9153666086729423,0.23803263902664185,0.3499999999999999,0.9990931678533426,,,,,722569,0.0,0.0,5.69373083114624,5.69373083114624
42,20,Transfer-Plain,0.9259515570934256,0.9258555397466386,0.20064091682434082,0.3499999999999999,0.9990931678533426,0.9566057172289467,0.9565543632715077,0.32999393343925476,0.0425388045818349,722569,0.0,0.0,11.817578077316284,11.817578077316284
42,20,Transfer-Plain+EWC,0.8678200692041522,0.8676740561177645,0.37788888812065125,0.3499999999999999,0.9990931678533426,0.7283028586144733,0.6905672978822419,0.6508819460868835,0.30852586997110065,722569,0.0,0.0,6.174567222595215,6.174567222595215
42,20,Adapter-Only,0.5626297577854671,0.5091416482486391,2.3820221424102783,0.3499999999999999,0.9990931678533426,0.9990986350759722,0.9990931678533426,0.018144216388463974,0.0,25186,0.0,0.0,4.512106418609619,4.512106418609619
42,20,DAEWC,0.8865051903114187,0.8861986169804072,0.3837398588657379,0.3499999999999999,0.9990931678533426,0.9983260365696627,0.9983160182182549,0.007881111465394497,0.0007771496350876816,247626,28.468218564987183,11.385835886001587,156.00727152824402,195.8613259792328
42,20,ReplayUpper,0.9065743944636678,0.9062576136405684,0.23007456958293915,0.3499999999999999,0.9990931678533426,0.9880247231522019,0.9879726496255972,0.06770749390125275,0.011120518227745402,722698,0.0,0.0,13.042987823486328,13.042987823486328
