seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,10,Scratch-Plain,0.9239888423988842,0.9238999880717932,0.33183956146240234,0.09999999999999999,0.9976684911719937,,,,,580769,0.0,0.0,3.7161738872528076,3.7161738872528076
42,10,Transfer-Plain,0.9532775453277545,0.9532609758482449,0.21761931478977203,0.09999999999999999,0.9976684911719937,0.9967804249839022,0.9967618568707876,0.20268747210502625,0.0009066343012061884,580769,0.0,0.0,3.7743618488311768,3.7743618488311768
42,10,Transfer-Plain+EWC,0.7691771269177127,0.7691518682418581,0.6975106000900269,0.09999999999999999,0.9976684911719937,0.9967804249839022,0.9967606955741499,0.06050824001431465,0.000907795597843819,580769,0.0,0.0,3.9161291122436523,3.9161291122436523
42,10,Adapter-Only,0.8354253835425384,0.8343034186695077,0.48813459277153015,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976684911719937,0.03034835308790207,0.0,25186,0.0,0.0,1.5386149883270264,1.5386149883270264
42,10,DAEWC,0.8542538354253836,0.8541856918013326,0.5618047714233398,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976682148505536,0.02855704538524151,2.7632144017353255e-07,105826,22.71277165412903,4.131294012069702,63.951067209243774,90.7951328754425
42,10,ReplayUpper,0.9246861924686193,0.9245358775203922,0.4332996904850006,0.09999999999999999,0.9976684911719937,0.9971667739858339,0.997150153337532,0.028547605499625206,0.0005183378344617573,580898,0.0,0.0,8.858506917953491,8.858506917953491
42,20,Scratch-Plain,0.9218967921896792,0.9218913224900935,0.31024500727653503,0.09999999999999999,0.9976684911719937,,,,,580769,0.0,0.0,4.43893575668335,4.43893575668335
42,20,Transfer-Plain,0.9609483960948396,0.9609480922415554,0.26910385489463806,0.09999999999999999,0.9976684911719937,0.9972955569864778,0.9972792036603784,0.20618495345115662,0.0003892875116153771,580769,0.0,0.0,8.174353837966919,8.174353837966919
42,20,Transfer-Plain+EWC,0.9776847977684798,0.9776691167310327,0.25121521949768066,0.09999999999999999,0.9976684911719937,0.9967804249839022,0.9967609567385456,0.065023273229599,0.0009075344334481539,580769,0.0,0.0,4.047551870346069,4.047551870346069
42,20,Adapter-Only,0.8584379358437936,0.8573540559730802,0.40879878401756287,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976684911719937,0.03034835308790207,0.0,25186,0.0,0.0,4.2230730056762695,4.2230730056762695
42,20,DAEWC,0.9811715481171548,0.9811627448738565,0.18183137476444244,0.09999999999999999,0.9976684911719937,0.9975531229877657,0.9975386223248649,0.024066483601927757,0.0001298688471288445,105826,22.71277165412903,4.131294012069702,74.28587508201599,101.12994074821472
42,20,ReplayUpper,0.9707112970711297,0.9707098727006753,0.19763517379760742,0.09999999999999999,0.9976684911719937,0.9961365099806826,0.9961144563241205,0.02953331172466278,0.001554034847873198,580898,0.0,0.0,8.980896949768066,8.980896949768066
42,80,Scratch-Plain,0.9902370990237099,0.990229496835634,0.1009279265999794,0.09999999999999999,0.9976684911719937,,,,,580769,0.0,0.0,3.8392269611358643,3.8392269611358643
42,80,Transfer-Plain,0.9944211994421199,0.9944144087998379,0.07783235609531403,0.09999999999999999,0.9976684911719937,0.995492594977463,0.9954673061054815,0.1063229888677597,0.0022011850665122346,580769,0.0,0.0,3.9209959506988525,3.9209959506988525
42,80,Transfer-Plain+EWC,0.9707112970711297,0.9706836966151031,0.12220436334609985,0.09999999999999999,0.9976684911719937,0.9962652929813265,0.9962446289572169,0.04107176139950752,0.001423862214776861,580769,0.0,0.0,7.2467567920684814,7.2467567920684814
42,80,Adapter-Only,0.8675034867503487,0.8670688201589358,0.43399831652641296,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976684911719937,0.03034835308790207,0.0,25186,0.0,0.0,2.055445909500122,2.055445909500122
42,80,DAEWC,0.9790794979079498,0.9790690749718294,0.08755865693092346,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976682148505536,0.028957152739167213,2.7632144017353255e-07,105826,22.71277165412903,4.131294012069702,96.98718309402466,123.83124876022339
42,80,ReplayUpper,0.9902370990237099,0.9902287169423418,0.10918957740068436,0.09999999999999999,0.9976684911719937,0.9969092079845461,0.9968910763682166,0.0300024151802063,0.0007774148037771322,580898,0.0,0.0,8.343902826309204,8.343902826309204
42,160,Scratch-Plain,0.9916317991631799,0.9916246145220073,0.0667882114648819,0.09999999999999999,0.9976684911719937,,,,,580769,0.0,0.0,3.9448161125183105,3.9448161125183105
42,160,Transfer-Plain,0.9846582984658299,0.9846506549793416,0.08587290346622467,0.09999999999999999,0.9976684911719937,0.984932388924662,0.9848103542622204,0.3029990494251251,0.012858136909773332,580769,0.0,0.0,4.499245643615723,4.499245643615723
42,160,Transfer-Plain+EWC,0.9846582984658299,0.9846515809630564,0.15605303645133972,0.09999999999999999,0.9976684911719937,0.9969092079845461,0.9968905808827386,0.04884808138012886,0.0007779102892551126,580769,0.0,0.0,3.981204032897949,3.981204032897949
42,160,Adapter-Only,0.9114365411436541,0.911078451716856,0.34120070934295654,0.09999999999999999,0.9976684911719937,0.9976819059884096,0.9976684911719937,0.03034835308790207,0.0,25186,0.0,0.0,7.834138870239258,7.834138870239258
42,160,DAEWC,0.9944211994421199,0.9944149417833628,0.05607927218079567,0.09999999999999999,0.9976684911719937,0.9975531229877657,0.9975386223248649,0.03209352120757103,0.0001298688471288445,105826,22.71277165412903,4.131294012069702,101.77131462097168,128.6153802871704
