shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.8461973264623804,0.042990165366835704,0.0,0.0,5.595831680297851,1.2282357257203942,25186.0
10,DAEWC,0.8325857038016136,0.03930121425832255,0.0,0.0,11.690931272506713,1.4693298505564218,25186.0
10,Scratch-Plain,0.8730723508117307,0.03747796970497043,,,3.6977829933166504,1.8126562605671919,580769.0
10,Transfer-Plain,0.8771263653592595,0.06398450443698103,0.03326141203813924,0.017794304933250283,3.69613094329834,1.1100237572479046,580769.0
10,Transfer-Plain+EWC,0.8440623819232785,0.09356773721984653,0.0008555043896526949,0.00012946988139446707,3.112412118911743,0.1456941972370812,580769.0
20,Adapter-Only,0.8684914191308353,0.03179056713071697,0.0,0.0,5.5972260475158695,1.5092127165954907,25186.0
20,DAEWC,0.85513664204717,0.03455036481387411,0.0,0.0,15.037771940231323,7.696701466349204,25186.0
20,Scratch-Plain,0.9524132690832523,0.018564910188108373,,,6.296926832199096,3.3615998179390103,580769.0
20,Transfer-Plain,0.9414983862781832,0.04639940404676948,0.030099018313017777,0.03591265433880268,3.8297876834869387,1.648900330927536,580769.0
20,Transfer-Plain+EWC,0.9437275085086136,0.04082133439913615,0.0010889213285645294,0.0008100081644176076,3.0034798622131347,0.1426726439386162,580769.0
80,Adapter-Only,0.8849450852715555,0.02916359855570001,0.0,0.0,7.5422135353088375,1.9598355842810964,25186.0
80,DAEWC,0.8684074979094885,0.036149596357733134,0.0,0.0,13.212982416152954,1.898893875406112,25186.0
80,Scratch-Plain,0.9863241506665721,0.00347259940936043,,,3.989664840698242,1.4275656653260453,580769.0
80,Transfer-Plain,0.963856769557041,0.02064063876303038,0.015923858743385443,0.020437323799547512,5.472442245483398,2.796045544832088,580769.0
80,Transfer-Plain+EWC,0.97962560577375,0.0035487306911818795,0.0007517512045991604,0.0002462720238782954,3.0069289207458496,0.06100881594216846,580769.0
160,Adapter-Only,0.889370102045851,0.02918755134324326,0.0,0.0,9.23981351852417,2.3330010514386252,25186.0
160,DAEWC,0.8604116763542409,0.04277896949563794,0.0,0.0,11.75679154396057,1.3308454989652685,25186.0
160,Scratch-Plain,0.9909260209615975,0.0018359614917158585,,,3.0473766803741453,0.8129976604905026,580769.0
160,Transfer-Plain,0.9910653775323244,0.002180711538623295,0.0013989859427529616,0.0005099456668996136,2.6591697692871095,0.1387088862867758,580769.0
160,Transfer-Plain+EWC,0.9846480328537537,0.0027686329997881937,0.000829574622709095,0.00038191971121486753,3.657287359237671,0.4482755999757892,580769.0
