seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,avg_f1_after,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,10,Scratch-Plain,0.7919732441471572,0.7915419693588732,0.6837351322174072,,,,,,,,580898,0.0,0.0,2.24031925201416,2.24031925201416
42,10,Transfer-Plain,0.7598662207357859,0.7535138982973008,0.6780244708061218,0.27,0.9993828973713286,0.9994319795512638,0.9993828973713286,0.001428548595868051,0.0,0.8764483978343147,580769,93.11244773864746,0.0,1.7045519351959229,94.81699967384338
42,10,Transfer-Plain+EWC,0.7558528428093646,0.7489442246014646,0.678299069404602,0.27,0.9993828973713286,0.9994319795512638,0.9993828973713286,0.0014264461351558566,0.0,0.8741635609863966,580769,93.11244773864746,0.6871869564056396,1.876209020614624,95.67584371566772
42,10,Adapter-Only,0.7016722408026755,0.7014252347329544,0.683323323726654,0.915,0.9984585813677729,0.9985799488781596,0.9984585813677729,0.002093974035233259,0.0,0.8499419080503636,4497,67.14706325531006,0.0,2.0874452590942383,69.2345085144043
42,10,DAEWC,0.7545150501672241,0.7541701222596644,0.6822314858436584,0.915,0.9984585813677729,0.9991479693268958,0.9990748283685318,0.002358468249440193,-0.0006162470007589071,0.8766224753140981,85137,67.14706325531006,0.9006891250610352,4.274357080459595,72.32210946083069
42,10,ReplayUpper,0.905685618729097,0.9055530987428138,0.6567409634590149,0.27,0.9993828973713286,1.0,1.0,0.0011383125092834234,-0.0006171026286714287,0.9527765493714069,580898,0.0,0.0,61.578470945358276,61.578470945358276
42,20,Scratch-Plain,0.8635451505016722,0.8634101511275447,0.6787694692611694,,,,,,,,580898,0.0,0.0,2.1235404014587402,2.1235404014587402
42,20,Transfer-Plain,0.7993311036789298,0.7990180789623686,0.6581186056137085,0.27,0.9993828973713286,0.9994319795512638,0.9993828973713286,0.0008431819151155651,0.0,0.8992004881668486,580769,93.11244773864746,0.0,1.6791563034057617,94.79160404205322
42,20,Transfer-Plain+EWC,0.8006688963210702,0.8003142906318801,0.6584590077400208,0.27,0.9993828973713286,0.9994319795512638,0.9993828973713286,0.0008585220784880221,0.0,0.8998485940016043,580769,93.11244773864746,0.6871869564056396,1.716322660446167,95.51595735549927
42,20,Adapter-Only,0.7090301003344481,0.708861280844722,0.6819738149642944,0.915,0.9984585813677729,0.9985799488781596,0.9984585813677729,0.002093974035233259,0.0,0.8536599311062474,4497,67.14706325531006,0.0,2.1112546920776367,69.2583179473877
