frac,method,acc_med,f1_med,bce_med,acc_pol_pre,bce_pol_pre,acc_pol_after,f1_pol_after,bce_pol_after,forget_acc,forget_bce,avg_acc_after,trainable_params,t_pretrain,t_fisher,t_finetune,t_total_once
0.01,Transfer-Plain (Full FT),0.5193075898801598,0.10199004975124377,1.3551745414733887,1.0,0.002101678866893053,0.9991499008217626,0.9993352537115001,0.006491922307759523,0.0008500991782374179,0.00439024344086647,0.7592287453509612,565429,94.66416192054749,0.0,2.0622498989105225,96.72641181945801
0.01,Transfer-Plain+EWC (Full FT),0.5193075898801598,0.10199004975124377,1.353857398033142,1.0,0.002101678866893053,0.9991499008217626,0.9993352537115001,0.006389819551259279,0.0008500991782374179,0.004288140684366226,0.7592287453509612,565429,94.66416192054749,0.6376433372497559,1.9985201358795166,97.30032539367676
0.01,Adapter-PEFT (freeze emb+conv),0.49201065246338216,0.015483870967741935,3.4753921031951904,1.0,0.00021961593301966786,0.9997166336072542,0.9997783196630459,0.0010318817803636193,0.00028336639274584297,0.0008122658473439515,0.7458636430353182,34661,66.52936697006226,0.0,3.0418245792388916,69.57119154930115
0.01,OURS-noEWC (unfreeze conv),0.48934753661784286,0.025412960609911054,3.178680419921875,1.0,0.00021961593301966786,0.9997166336072542,0.9997783196630459,0.0010410151444375515,0.00028336639274584297,0.0008213992114178836,0.7445320851125485,98789,66.52936697006226,0.0,3.1895079612731934,69.71887493133545
0.01,OURS=Adapter+EWC (unfreeze conv + EWC),0.48934753661784286,0.025412960609911054,3.1792993545532227,1.0,0.00021961593301966786,0.9997166336072542,0.9997783196630459,0.0010479021584615111,0.00028336639274584297,0.0008282862254418433,0.7445320851125485,98789,66.52936697006226,0.7149877548217773,3.3135061264038086,70.55786085128784
0.01,Med-Scratch (TOK_ALL),0.7470039946737683,0.6718480138169257,0.6805105209350586,,,,,,,,,565429,0.0,0.0,1.793900489807129,1.793900489807129
0.01,Replay Upper (Joint Plain: POL_train + MED_sub),0.9094540612516645,0.9153175591531756,0.35276544094085693,,,0.9997166336072542,0.9997783196630459,0.0037510052789002657,,,,565429,0.0,0.0,67.0782299041748,67.0782299041748
0.05,Transfer-Plain (Full FT),0.8821571238348869,0.8842380640941792,0.39817729592323303,1.0,0.002101678866893053,0.995182771323321,0.9962447537000221,0.036484312266111374,0.004817228676678997,0.03438263339921832,0.9386699475791039,565429,94.66416192054749,0.0,6.168431520462036,100.83259344100952
0.05,Transfer-Plain+EWC (Full FT),0.8841544607190412,0.8859764089121888,0.39867496490478516,1.0,0.002101678866893053,0.9965996032870501,0.9973463069438302,0.03200499340891838,0.0034003967129498935,0.029903314542025328,0.9403770320030457,565429,94.66416192054749,0.6376433372497559,2.1300230026245117,97.43182826042175
0.05,Adapter-PEFT (freeze emb+conv),0.47203728362183756,0.6374028349336991,0.9239320755004883,1.0,0.00021961593301966786,0.9396429583451402,0.954901545627779,0.12049882858991623,0.06035704165485978,0.12027921265689656,0.7058401209834889,34661,66.52936697006226,0.0,3.2687745094299316,69.79814147949219
0.05,OURS-noEWC (unfreeze conv),0.5652463382157124,0.5916197623514696,0.7748057246208191,1.0,0.00021961593301966786,0.9900821762538963,0.9922992299229924,0.02118019200861454,0.009917823746103727,0.020960576075594872,0.7776642572348043,98789,66.52936697006226,0.0,3.4859719276428223,70.01533889770508
0.05,OURS=Adapter+EWC (unfreeze conv + EWC),0.5659121171770972,0.5914786967418546,0.776412844657898,1.0,0.00021961593301966786,0.9900821762538963,0.9922992299229924,0.0211003590375185,0.009917823746103727,0.020880743104498833,0.7779971467154967,98789,66.52936697006226,0.7149877548217773,3.5660979747772217,70.81045269966125
0.05,Med-Scratch (TOK_ALL),0.9247669773635153,0.9307173513182097,0.5130695104598999,,,,,,,,,565429,0.0,0.0,4.543082237243652,4.543082237243652
0.05,Replay Upper (Joint Plain: POL_train + MED_sub),0.9647137150466045,0.9659163987138264,0.07901269942522049,,,1.0,1.0,0.0023619632702320814,,,,565429,0.0,0.0,63.10973119735718,63.10973119735718
0.1,Transfer-Plain (Full FT),0.9340878828229028,0.9363344051446946,0.22274935245513916,1.0,0.002101678866893053,0.9957495041088127,0.9966850828729282,0.032963827252388,0.004250495891187311,0.030862148385494947,0.9649186934658578,565429,94.66416192054749,0.0,9.725460767745972,104.38962268829346
0.1,Transfer-Plain+EWC (Full FT),0.9327563249001332,0.9347123464770524,0.22012558579444885,1.0,0.002101678866893053,0.9974497024652876,0.998008408940031,0.020352331921458244,0.0025502975347123646,0.01825065305456519,0.9651030136827103,565429,94.66416192054749,0.6376433372497559,2.2072813510894775,97.50908660888672
0.1,Adapter-PEFT (freeze emb+conv),0.5153129161118508,0.666971637694419,0.6904197931289673,1.0,0.00021961593301966786,0.905355624822896,0.9310487200660611,0.1625082790851593,0.094644375177104,0.16228866315213963,0.7103342704673734,34661,66.52936697006226,0.0,3.479222059249878,70.00858902931213
0.1,OURS-noEWC (unfreeze conv),0.7137150466045273,0.6814814814814815,0.608748733997345,1.0,0.00021961593301966786,0.9878152451119298,0.9905556775752251,0.045618936419487,0.012184754888070248,0.04539932048646733,0.8507651458582286,98789,66.52936697006226,0.0,3.558321475982666,70.08768844604492
0.1,OURS=Adapter+EWC (unfreeze conv + EWC),0.699733688415446,0.6506584043377227,0.6087865829467773,1.0,0.00021961593301966786,0.9886653442901672,0.9912087912087912,0.04135678708553314,0.01133465570983283,0.041137171152513474,0.8441995163528067,98789,66.52936697006226,0.7149877548217773,3.8246066570281982,71.06896138191223
