frac,method,acc_med,f1_med,bce_med,acc_pol_pre,bce_pol_pre,acc_pol_after,f1_pol_after,bce_pol_after,forget_acc,forget_bce,avg_acc_after,trainable_params,t_pretrain,t_fisher,t_finetune,t_total_once
0.01,Transfer-Plain (Full FT),0.563249001331558,0.2511415525114155,1.1964647769927979,1.0,0.002221943810582161,0.9988665344290167,0.999113867966327,0.0070814937353134155,0.0011334655709832608,0.004859549924731255,0.7810577678802874,565429,63.4820282459259,0.0,2.226828098297119,65.70885634422302
0.01,Transfer-Plain+EWC (Full FT),0.5585885486018641,0.23705408515535098,1.1990336179733276,1.0,0.002221943810582161,0.9991499008217626,0.9993352537115001,0.006789840292185545,0.0008500991782374179,0.004567896481603384,0.7788692247118134,565429,63.4820282459259,2.326535701751709,2.245208978652954,68.05377292633057
0.01,Adapter-PEFT (freeze emb+conv),0.4940079893475366,0.023136246786632387,3.4267380237579346,0.9994332672145083,0.0007204597350209951,1.0,1.0,0.0008983764564618468,-0.0005667327854916859,0.0001779167214408517,0.7470039946737683,34661,81.62985801696777,0.0,2.7465250492095947,84.37638306617737
0.01,OURS-noEWC (unfreeze conv),0.49067909454061254,0.03041825095057034,3.101513624191284,0.9994332672145083,0.0007204597350209951,0.9997166336072542,0.9997783196630459,0.0009570589754730463,-0.00028336639274584297,0.00023659924045205116,0.7451978640739334,98789,81.62985801696777,0.0,2.920203924179077,84.55006194114685
0.01,OURS=Adapter+EWC (unfreeze conv + EWC),0.49067909454061254,0.03041825095057034,3.1023378372192383,0.9994332672145083,0.0007204597350209951,0.9997166336072542,0.9997783196630459,0.0009559488971717656,-0.00028336639274584297,0.00023548916215077043,0.7451978640739334,98789,81.62985801696777,3.0433349609375,2.9148800373077393,87.58807301521301
0.01,Med-Scratch (TOK_ALL),0.7276964047936085,0.6377325066430469,0.6813893914222717,,,,,,,,,565429,0.0,0.0,2.2037148475646973,2.2037148475646973
0.01,Replay Upper (Joint Plain: POL_train + MED_sub),0.9067909454061251,0.9131513647642681,0.38377344608306885,,,0.9997166336072542,0.9997783196630459,0.0036836392246186733,,,,565429,0.0,0.0,63.47868013381958,63.47868013381958
0.05,Transfer-Plain (Full FT),0.8854860186418109,0.8869908015768726,0.3538110554218292,1.0,0.002221943810582161,0.9940493057523377,0.9953652615316707,0.03362544998526573,0.005950694247662258,0.03140350617468357,0.9397676621970743,565429,63.4820282459259,0.0,3.3511900901794434,66.83321833610535
0.05,Transfer-Plain+EWC (Full FT),0.8848202396804261,0.8859591298615689,0.3554741144180298,1.0,0.002221943810582161,0.9957495041088127,0.9966850828729282,0.02819768525660038,0.004250495891187311,0.02597574144601822,0.9402848718946194,565429,63.4820282459259,2.326535701751709,3.363778829574585,69.1723427772522
0.05,Adapter-PEFT (freeze emb+conv),0.4760319573901465,0.6421100500227376,0.9213032722473145,0.9994332672145083,0.0007204597350209951,0.9438934542363275,0.9579439252336448,0.1155167743563652,0.05553981297818078,0.11479631462134421,0.709962705813237,34661,81.62985801696777,0.0,3.375696897506714,85.00555491447449
0.05,OURS-noEWC (unfreeze conv),0.5832223701731025,0.602287166454892,0.7431620955467224,0.9994332672145083,0.0007204597350209951,0.988948710682913,0.9914266871839965,0.020808132365345955,0.010484556531595302,0.02008767263032496,0.7860855404280078,98789,81.62985801696777,0.0,4.075479984283447,85.70533800125122
0.05,OURS=Adapter+EWC (unfreeze conv + EWC),0.5818908122503329,0.5974358974358974,0.7449374198913574,0.9994332672145083,0.0007204597350209951,0.9892320770756589,0.9916446789797714,0.020515501499176025,0.010201190138849459,0.01979504176415503,0.7855614446629959,98789,81.62985801696777,3.0433349609375,4.062061071395874,88.73525404930115
0.05,Med-Scratch (TOK_ALL),0.9247669773635153,0.9307173513182097,0.512549877166748,,,,,,,,,565429,0.0,0.0,3.257690906524658,3.257690906524658
0.05,Replay Upper (Joint Plain: POL_train + MED_sub),0.9687083888149135,0.9698137443802183,0.08158612251281738,,,1.0,1.0,0.003063644515350461,,,,565429,0.0,0.0,64.7643039226532,64.7643039226532
0.1,Transfer-Plain (Full FT),0.933422103861518,0.9341238471673254,0.2021687775850296,1.0,0.002221943810582161,0.9960328705015585,0.9969053934571175,0.033021457493305206,0.0039671294984414684,0.030799513682723045,0.9647274871815383,565429,63.4820282459259,0.0,4.7290308475494385,68.21105909347534
0.1,Transfer-Plain+EWC (Full FT),0.9287616511318242,0.9296515450361604,0.20205849409103394,1.0,0.002221943810582161,0.9977330688580335,0.9982293050022133,0.02102718874812126,0.0022669311419665217,0.0188052449375391,0.9632473599949288,565429,63.4820282459259,2.326535701751709,4.558362007141113,70.36692595481873
0.1,Adapter-PEFT (freeze emb+conv),0.5079893475366178,0.6636322257624032,0.6942943334579468,0.9994332672145083,0.0007204597350209951,0.9073391895721168,0.9323961132933637,0.16050297021865845,0.09209407764239153,0.15978251048363745,0.7076642685543673,34661,81.62985801696777,0.0,3.9879000186920166,85.61775803565979
0.1,OURS-noEWC (unfreeze conv),0.7130492676431425,0.6697318007662836,0.6073637008666992,0.9994332672145083,0.0007204597350209951,0.9892320770756589,0.9916446789797714,0.043378230184316635,0.010201190138849459,0.04265777044929564,0.8511406723594006,98789,81.62985801696777,0.0,5.255124807357788,86.88498282432556
0.1,OURS=Adapter+EWC (unfreeze conv + EWC),0.6990679094540613,0.6418383518225039,0.6079606413841248,0.9994332672145083,0.0007204597350209951,0.9897988098611504,0.9920809502859657,0.03963841125369072,0.009634457353357884,0.038917951518669724,0.8444333596576059,98789,81.62985801696777,3.0433349609375,5.312222242355347,89.98541522026062
